loan_id,loan_amount,region
211113,22400,Midwest
211142,22400,Midwest
211023,22400,Midwest
210996,22400,Midwest
211068,22400,Midwest
211081,22400,Midwest
211110,22400,Midwest
211145,22400,Midwest
211199,22400,Midwest
211114,22400,Midwest
211166,22400,Midwest
211101,22400,Midwest
211083,22400,Midwest
211111,22400,Midwest
211134,22400,Midwest
210976,22400,Midwest
211202,22400,Midwest
211100,22400,Midwest
210971,22400,Midwest
211067,22400,Midwest
211133,22400,Midwest
211080,22400,Midwest
211186,22400,Midwest
211191,22400,Midwest
211220,22400,Midwest
211236,22400,Midwest
211266,22400,Midwest
211150,22400,Midwest
211073,22400,Midwest
211233,22400,Midwest
211176,22400,Midwest
211267,22400,Midwest
210986,22400,Midwest
211192,22400,Midwest
210995,22400,Midwest
211146,22400,Midwest
211243,22400,Midwest
211246,22400,Midwest
211123,22400,Midwest
211216,22400,Midwest
211257,22400,Midwest
211163,22400,Midwest
211160,22400,Midwest
211014,22400,Midwest
211138,22400,Midwest
211154,22400,Midwest
211214,22400,Midwest
211088,22400,Midwest
211122,22400,Midwest
211262,22400,Midwest
211121,22400,Midwest
211057,22400,Midwest
211231,22400,Midwest
211048,22400,Midwest
211036,22400,Midwest
211169,22400,Midwest
211064,22400,Midwest
211230,22400,Midwest
211247,22400,Midwest
211028,22400,Midwest
211089,22400,Midwest
211097,22400,Midwest
211207,22400,Midwest
211129,22400,Midwest
211069,22400,Midwest
211078,22400,Midwest
211086,22400,Midwest
185020,19200,Midwest
185159,19200,Midwest
185203,19200,Midwest
185257,19200,Midwest
184577,19200,Midwest
185391,19200,Midwest
184813,19200,Midwest
184841,19200,Midwest
185122,19200,Midwest
184893,19200,Midwest
184657,19200,Midwest
184747,19200,Midwest
185166,19200,Midwest
184890,19200,Midwest
184953,19200,Midwest
184956,19200,Midwest
184799,19200,Midwest
184628,19200,Midwest
184653,19200,Midwest
184712,19200,Midwest
184735,19200,Midwest
185243,19200,Midwest
184676,19200,Midwest
184739,19200,Midwest
185301,19200,Midwest
185327,19200,Midwest
185392,19200,Midwest
185016,19200,Midwest
185072,19200,Midwest
185352,19200,Midwest
184648,19200,Midwest
185034,19200,Midwest
185158,19200,Midwest
184572,19200,Midwest
184613,19200,Midwest
184634,19200,Midwest
185079,19200,Midwest
185105,19200,Midwest
185434,19200,Midwest
185463,19200,Midwest
184637,19200,Midwest
184575,19200,Midwest
185042,19200,Midwest
185168,19200,Midwest
185183,19200,Midwest
185262,19200,Midwest
185423,19200,Midwest
184984,19200,Midwest
185071,19200,Midwest
185081,19200,Midwest
185293,19200,Midwest
185347,19200,Midwest
184922,19200,Midwest
185239,19200,Midwest
184707,19200,Midwest
184718,19200,Midwest
184598,19200,Midwest
185321,19200,Midwest
185139,19200,Midwest
184928,19200,Midwest
185167,19200,Midwest
185370,19200,Midwest
184788,19200,Midwest
185051,19200,Midwest
